,cX,cY,Reps,Avg Velocity,Peak Velocity,Avg Velocity Loss,Peak Velocity Loss,Rep
49,601,629,1,0.4561174115309074,0.6571193328857422,,,1
50,601,618,1,0.4561174115309074,0.6571193328857422,,,1
51,602,607,1,0.4561174115309074,0.6571193328857422,,,1
52,602,597,1,0.4561174115309074,0.6571193328857422,,,1
53,602,587,1,0.4561174115309074,0.6571193328857422,,,1
54,602,576,1,0.4561174115309074,0.6571193328857422,,,1
55,602,566,1,0.4561174115309074,0.6571193328857422,,,1
56,602,557,1,0.4561174115309074,0.6571193328857422,,,1
57,602,547,1,0.4561174115309074,0.6571193328857422,,,1
58,602,538,1,0.4561174115309074,0.6571193328857422,,,1
59,602,530,1,0.4561174115309074,0.6571193328857422,,,1
60,603,521,1,0.4561174115309074,0.6571193328857422,,,1
61,603,513,1,0.4561174115309074,0.6571193328857422,,,1
62,602,506,1,0.4561174115309074,0.6571193328857422,,,1
63,603,498,1,0.4561174115309074,0.6571193328857422,,,1
64,602,492,1,0.4561174115309074,0.6571193328857422,,,1
65,602,485,1,0.4561174115309074,0.6571193328857422,,,1
66,602,478,1,0.4561174115309074,0.6571193328857422,,,1
67,602,472,1,0.4561174115309074,0.6571193328857422,,,1
68,602,466,1,0.4561174115309074,0.6571193328857422,,,1
69,602,459,1,0.4561174115309074,0.6571193328857422,,,1
70,601,453,1,0.4561174115309074,0.6571193328857422,,,1
71,601,447,1,0.4561174115309074,0.6571193328857422,,,1
72,600,441,1,0.4561174115309074,0.6571193328857422,,,1
73,599,435,1,0.4561174115309074,0.6571193328857422,,,1
74,599,430,1,0.4561174115309074,0.6571193328857422,,,1
75,597,425,1,0.4561174115309074,0.6571193328857422,,,1
76,597,421,1,0.4561174115309074,0.6571193328857422,,,1
77,595,416,1,0.4561174115309074,0.6571193328857422,,,1
78,595,412,1,0.4561174115309074,0.6571193328857422,,,1
79,594,409,1,0.4561174115309074,0.6571193328857422,,,1
80,592,407,1,0.4561174115309074,0.6571193328857422,,,1
81,591,405,1,0.4561174115309074,0.6571193328857422,,,1
82,589,403,1,0.4561174115309074,0.6571193328857422,,,1
83,589,402,1,0.4561174115309074,0.6571193328857422,,,1
84,587,402,1,0.4561174115309074,0.6571193328857422,,,1
85,586,402,1,0.4561174115309074,0.6571193328857422,,,1
86,585,403,1,0.4561174115309074,0.6571193328857422,,,1
87,585,405,1,0.4561174115309074,0.6571193328857422,,,1
88,583,410,1,0.4561174115309074,0.6571193328857422,,,1
89,583,415,1,0.4561174115309074,0.6571193328857422,,,1
90,582,421,1,0.4561174115309074,0.6571193328857422,,,1
91,582,428,1,0.4561174115309074,0.6571193328857422,,,1
92,582,436,1,0.4561174115309074,0.6571193328857422,,,1
93,581,444,1,0.4561174115309074,0.6571193328857422,,,1
94,580,455,1,0.4561174115309074,0.6571193328857422,,,1
95,579,465,1,0.4561174115309074,0.6571193328857422,,,1
96,578,476,1,0.4561174115309074,0.6571193328857422,,,1
97,577,488,1,0.4561174115309074,0.6571193328857422,,,1
98,577,501,1,0.4561174115309074,0.6571193328857422,,,1
99,576,513,1,0.4561174115309074,0.6571193328857422,,,1
100,576,527,1,0.4561174115309074,0.6571193328857422,,,1
101,576,541,1,0.4561174115309074,0.6571193328857422,,,1
102,575,556,1,0.4561174115309074,0.6571193328857422,,,1
103,575,570,1,0.4561174115309074,0.6571193328857422,,,1
104,574,584,1,0.4561174115309074,0.6571193328857422,,,1
105,574,599,1,0.4561174115309074,0.6571193328857422,,,1
106,574,614,1,0.4561174115309074,0.6571193328857422,,,1
107,573,628,1,0.4561174115309074,0.6571193328857422,,,1
108,572,643,1,0.4561174115309074,0.6571193328857422,,,1
109,572,658,1,0.4561174115309074,0.6571193328857422,,,1
110,571,672,1,0.4561174115309074,0.6571193328857422,,,1
111,571,688,1,0.4561174115309074,0.6571193328857422,,,1
112,570,703,1,0.4561174115309074,0.6571193328857422,,,1
113,569,718,1,0.4561174115309074,0.6571193328857422,,,1
114,568,734,1,0.4561174115309074,0.6571193328857422,,,1
115,567,750,1,0.4561174115309074,0.6571193328857422,,,1
116,566,766,1,0.4561174115309074,0.6571193328857422,,,1
117,565,783,1,0.4561174115309074,0.6571193328857422,,,1
118,564,800,1,0.4561174115309074,0.6571193328857422,,,1
119,562,818,1,0.4561174115309074,0.6571193328857422,,,1
120,561,836,1,0.4561174115309074,0.6571193328857422,,,1
121,560,853,1,0.4561174115309074,0.6571193328857422,,,1
122,558,872,1,0.4561174115309074,0.6571193328857422,,,1
123,556,889,1,0.4561174115309074,0.6571193328857422,,,1
124,554,906,1,0.4561174115309074,0.6571193328857422,,,1
125,552,924,1,0.4561174115309074,0.6571193328857422,,,1
126,550,941,1,0.4561174115309074,0.6571193328857422,,,1
127,549,956,1,0.4561174115309074,0.6571193328857422,,,1
128,547,969,1,0.4561174115309074,0.6571193328857422,,,1
129,546,982,1,0.4561174115309074,0.6571193328857422,,,1
130,546,993,1,0.4561174115309074,0.6571193328857422,,,1
131,545,1001,1,0.4561174115309074,0.6571193328857422,,,1
132,544,1007,1,0.4561174115309074,0.6571193328857422,,,1
133,543,1012,1,0.4561174115309074,0.6571193328857422,,,1
134,543,1013,1,0.4561174115309074,0.6571193328857422,,,1
135,543,1015,1,0.4561174115309074,0.6571193328857422,,,1
136,543,1013,1,0.4561174115309074,0.6571193328857422,,,1
137,543,1011,1,0.4561174115309074,0.6571193328857422,,,1
138,543,1008,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
139,543,1005,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
140,543,1002,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
141,543,1000,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
142,543,999,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
143,543,1000,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
144,544,1000,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
145,544,1002,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
146,545,1004,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
147,545,1006,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
148,545,1007,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
149,545,1009,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
150,546,1008,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
151,546,1008,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
152,546,1007,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
153,546,1006,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
154,546,1005,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
155,546,1004,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
156,546,1003,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
157,546,1003,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
158,547,1002,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
159,547,1002,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
160,547,1003,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
161,548,1003,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
162,548,1004,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
163,549,1004,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
164,549,1004,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
165,549,1004,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
166,549,1005,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
167,549,1005,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
168,549,1005,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
169,548,1005,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
170,548,1005,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
171,548,1005,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
172,548,1005,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
173,548,1005,2,0.4509454838839442,0.6638899513244629,1.133902700535861,-1.030348385731939,2
